,0,1,title
211,211,http://www.memphis.edu/hr/,Human Resources -       	Human Resources      	 - University of Memphis   
212,212,http://www.memphis.edu/space/,Space Planning and Utilization -       	Space Planning and Utilization      	 - University of Memphis   
213,213,http://www.memphis.edu/facultysenate/,Faculty Senate -       	Faculty Senate      	 - University of Memphis   
214,214,http://www.memphis.edu/staffsenate/,Staff Senate -       	Staff Senate      	 - University of Memphis   
215,215,http://www.memphis.edu/vpai/,Vice Provost for Innovation and Support Services -       	VPAI      	 - University of Memphis   
216,216,http://www.memphis.edu/emprelations/,Employee Relations & Engagement -       	Employee Relations & Engagement      	 - University of Memphis   
217,217,http://www.memphis.edu/tigercopy/,Tiger Copy & Graphics -       	Tiger Copy & Graphics      	 - University of Memphis   
218,218,http://www.memphis.edu/umtech/service_desk/, Service Desk -       	umTech - Information Technology Services       	 - University of Memphis   
219,219,http://www.memphis.edu/students/studentservices.php,Student Services -       	Current Students      	 - University of Memphis   
220,220,http://www.memphis.edu/oed/,Organization & Employee Development -       	Organization & Employee Development       	 - University of Memphis   
221,221,http://www.memphis.edu/nursing/research/, Research -       	The Loewenberg College of Nursing      	 - University of Memphis   
222,222,http://www.memphis.edu/nursing/programs/rn_bsn_cover.php,RN-BSN Program -       	The Loewenberg College of Nursing      	 - University of Memphis   
223,223,http://www.memphis.edu/nursing/programs/, Programs -       	The Loewenberg College of Nursing      	 - University of Memphis   
224,224,http://www.memphis.edu/wumr/onair/program_letstalkhealth.php,Let's Talk Health  -       	WUMR      	 - University of Memphis   
225,225,http://www.memphis.edu/nursing/alumni_and_friends/, Alumni & Friends -       	The Loewenberg College of Nursing      	 - University of Memphis   
226,226,http://www.memphis.edu/nursing/apply.php,The Loewenberg College of Nursing -       	The Loewenberg College of Nursing      	 - University of Memphis   
227,227,http://www.memphis.edu/nursing/nursing_lambuth.php,The Loewenberg College of Nursing - Lambuth -       	The Loewenberg College of Nursing      	 - University of Memphis   
228,228,http://www.memphis.edu/nursing/news/,News  -       	The Loewenberg College of Nursing      	 - University of Memphis   
229,229,http://www.memphis.edu/nursing/news/index.php,News  -       	The Loewenberg College of Nursing      	 - University of Memphis   
230,230,http://www.memphis.edu/nursing/calendar.php,The Loewenberg College of Nursing -       	The Loewenberg College of Nursing      	 - University of Memphis   
231,231,http://www.memphis.edu/nursing/about_us/, About Us -       	The Loewenberg College of Nursing      	 - University of Memphis   
232,232,http://www.memphis.edu/nursing/faculty_and_staff/, Faculty & Staff -       	The Loewenberg College of Nursing      	 - University of Memphis   
233,233,http://www.memphis.edu/nursing/about_us/coh.php,Building a Culture of Health for Urban Children and Families -       	The Loewenberg College of Nursing      	 - University of Memphis   
234,234,http://www.memphis.edu/nursing/contact_us.php,Contact Us -       	The Loewenberg College of Nursing      	 - University of Memphis   
235,235,http://www.memphis.edu/nursing/students/, Students -       	The Loewenberg College of Nursing      	 - University of Memphis   
236,236,http://www.memphis.edu/law/programs/childrensdefense-clinic.php,Child & Family Litigation Clinic  -       	School of Law       	 - University of Memphis   
237,237,http://www.memphis.edu/law/current-students/course-and-class-information.php,Course & Class Information -       	School of Law       	 - University of Memphis   
238,238,http://www.memphis.edu/law/student-affairs/student-advising.php,Student Advising -       	School of Law       	 - University of Memphis   
239,239,http://www.memphis.edu/law/student-affairs/commencement.php,Commencement -       	School of Law       	 - University of Memphis   
240,240,http://www.memphis.edu/law/current-students/index.php,Current Students -       	School of Law       	 - University of Memphis   
241,241,http://www.memphis.edu/law/current-students/honor-council.php,Honor Council -       	School of Law       	 - University of Memphis   
242,242,http://www.memphis.edu/law/library/,Law Library -       	School of Law       	 - University of Memphis   
243,243,http://www.memphis.edu/law/current-students/academic-regulations.php,Academic Regulations -       	School of Law       	 - University of Memphis   
244,244,http://www.memphis.edu/law/programs/housing-adjudication-clinic.php,Housing Adjudication Clinic  -       	School of Law       	 - University of Memphis   
245,245,http://www.memphis.edu/law/current-students/calendars.php,Calendars  -       	School of Law       	 - University of Memphis   
246,246,http://www.memphis.edu/law/about/contact.php,Contact  -       	School of Law       	 - University of Memphis   
247,247,http://www.memphis.edu/law/about/abadisclosures.php,ABA Required Disclosures -       	School of Law       	 - University of Memphis   
248,248,http://www.memphis.edu/law/career-services/pro-bono.php,Pro Bono -       	School of Law       	 - University of Memphis   
249,249,http://www.memphis.edu/law/current-students/curriculum.php,Academic Curriculum -       	School of Law       	 - University of Memphis   
250,250,http://www.memphis.edu/law/programs/mediation-clinic.php,Mediation Clinic -       	School of Law       	 - University of Memphis   
251,251,http://www.memphis.edu/law/programs/part-time-program.php,Part Time Program -       	School of Law       	 - University of Memphis   
252,252,http://www.memphis.edu/law/current-students/graduation-requirements.php,Graduation Requirements  -       	School of Law       	 - University of Memphis   
253,253,http://www.memphis.edu/law/career-services/,Career Services Office -       	School of Law       	 - University of Memphis   
254,254,http://www.memphis.edu/law/about/index.php,About School of Law -       	School of Law       	 - University of Memphis   
255,255,http://www.memphis.edu/law/student-affairs/index.php,Student Affairs Office -       	School of Law       	 - University of Memphis   
256,256,http://www.memphis.edu/law/current-students/lawschoolbooks.php,Law School Books -       	School of Law       	 - University of Memphis   
257,257,http://www.memphis.edu/law/current-students/records-request.php,Records Request -       	School of Law       	 - University of Memphis   
258,258,http://www.memphis.edu/law/current-students,
