,0,1,title
0,0,http://www.memphis.edu,
218,218,http://www.memphis.edu/hmi/,Home -       	Healthy Memphis Initiative      	 - University of Memphis   
219,219,http://www.memphis.edu/aa/aaunits/index.php, Academic Affairs Units -       	Academic Affairs      	 - University of Memphis   
220,220,http://www.memphis.edu/aa/resources/index.php, Resources -       	Academic Affairs      	 - University of Memphis   
221,221,http://www.memphis.edu/aa/provost/index.php,Office of the Provost -       	Academic Affairs      	 - University of Memphis   
222,222,http://www.memphis.edu/aa/recognition/index.php,Faculty Recognition -       	Academic Affairs      	 - University of Memphis   
223,223,http://www.memphis.edu/aa/about/index.php,About Academic Affairs -       	Academic Affairs      	 - University of Memphis   
224,224,http://www.memphis.edu/nursing/apply.php,The Loewenberg College of Nursing -       	The Loewenberg College of Nursing      	 - University of Memphis   
225,225,http://www.memphis.edu/nursing/programs/, Programs -       	The Loewenberg College of Nursing      	 - University of Memphis   
226,226,http://www.memphis.edu/nursing/faculty_and_staff/, Faculty & Staff -       	The Loewenberg College of Nursing      	 - University of Memphis   
227,227,http://www.memphis.edu/nursing/research/, Research -       	The Loewenberg College of Nursing      	 - University of Memphis   
228,228,http://www.memphis.edu/nursing/students/, Students -       	The Loewenberg College of Nursing      	 - University of Memphis   
229,229,http://www.memphis.edu/wumr/onair/program_letstalkhealth.php,Let's Talk Health  -       	WUMR      	 - University of Memphis   
230,230,http://www.memphis.edu/nursing/alumni_and_friends/, Alumni & Friends -       	The Loewenberg College of Nursing      	 - University of Memphis   
231,231,http://www.memphis.edu/nursing/programs/rn_bsn_cover.php,RN-BSN Program -       	The Loewenberg College of Nursing      	 - University of Memphis   
232,232,http://www.memphis.edu/nursing/nursing_lambuth.php,The Loewenberg College of Nursing - Lambuth -       	The Loewenberg College of Nursing      	 - University of Memphis   
233,233,http://www.memphis.edu/nursing/about_us/, About Us -       	The Loewenberg College of Nursing      	 - University of Memphis   
234,234,http://www.memphis.edu/nursing/calendar.php,The Loewenberg College of Nursing -       	The Loewenberg College of Nursing      	 - University of Memphis   
235,235,http://www.memphis.edu/nursing/contact_us.php,Contact Us -       	The Loewenberg College of Nursing      	 - University of Memphis   
236,236,http://www.memphis.edu/nursing/news/index.php,News  -       	The Loewenberg College of Nursing      	 - University of Memphis   
